v10,u_curr,v_curr,elevation,target
1.6851349,-0.24414062,-0.09472656,233.0,0
1.4566193,-0.24414062,-0.09472656,360.0,0
1.4107208,-0.24414062,-0.09472656,340.0,0
1.6050568,-0.24414062,-0.09472656,530.0,0
0.9523773,-0.1640625,-0.0625,-120.0,1
1.9079175,-0.09765625,0.055664062,-110.0,1
1.9079175,0.015625,0.0087890625,-91.0,1
1.9079175,-0.24414062,-0.09472656,116.0,1
1.9079175,-0.24414062,-0.09472656,193.0,1
1.9079175,-0.040039062,0.09082031,-60.0,1
1.9079175,-0.24414062,-0.09472656,51.0,1
1.8000336,-0.24414062,-0.09472656,176.0,1
1.7560883,-0.24414062,-0.09472656,166.0,1
1.9079175,-0.24414062,-0.09472656,237.0,1
1.2941742,-0.24414062,-0.09472656,153.0,1
1.1389008,-0.24414062,-0.09472656,233.0,1
0.9367523,-0.24414062,-0.09472656,360.0,1
1.1017914,-0.24414062,-0.09472656,340.0,1
1.4523773,-0.24414062,-0.09472656,530.0,1
0.06959534,-0.14648438,-0.07324219,-120.0,1
1.1906891,-0.076171875,0.053710938,-110.0,1
1.0520172,0.036132812,-0.0009765625,-91.0,1
1.1526031,-0.24414062,-0.09472656,116.0,1
1.2336578,-0.24414062,-0.09472656,193.0,1
0.885025,-0.0048828125,0.08886719,-60.0,1
1.0578766,-0.24414062,-0.09472656,51.0,1
0.760025,-0.24414062,-0.09472656,176.0,1
0.8469391,-0.24414062,-0.09472656,166.0,1
1.1535797,-0.24414062,-0.09472656,237.0,1
0.10572815,-0.24414062,-0.09472656,153.0,1
0.25221252,-0.24414062,-0.09472656,233.0,1
0.3469391,-0.24414062,-0.09472656,360.0,1
0.6311188,-0.24414062,-0.09472656,340.0,1
0.8908844,-0.24414062,-0.09472656,530.0,1
-0.6343231,-0.13085938,-0.09082031,-120.0,1
0.07954407,-0.052734375,0.040039062,-110.0,1
0.39888,0.057617188,-0.017578125,-91.0,1
0.58735657,-0.24414062,-0.09472656,116.0,1
0.64888,-0.24414062,-0.09472656,193.0,1
-0.13041687,0.034179688,0.07324219,-60.0,1
0.1254425,-0.24414062,-0.09472656,51.0,1
0.36470032,-0.24414062,-0.09472656,176.0,1
0.5297394,-0.24414062,-0.09472656,166.0,1
0.6615753,-0.24414062,-0.09472656,237.0,1
-0.22514343,-0.24414062,-0.09472656,153.0,1
0.02192688,-0.24414062,-0.09472656,233.0,1
0.061965942,-0.24414062,-0.09472656,360.0,1
0.23384094,-0.24414062,-0.09472656,340.0,1
0.36958313,-0.24414062,-0.09472656,530.0,1
-1.3721466,-0.12011719,-0.11621094,-120.0,1
-1.0157013,-0.03125,0.013671875,-110.0,1
-0.5235138,0.07324219,-0.038085938,-91.0,1
-0.27156067,-0.24414062,-0.09472656,116.0,1
-0.09577942,-0.24414062,-0.09472656,193.0,1
-1.1533966,0.07128906,0.041992188,-60.0,1
-0.79792786,-0.24414062,-0.09472656,51.0,1
-0.29206848,-0.24414062,-0.09472656,176.0,1
-0.06062317,-0.24414062,-0.09472656,166.0,1
0.012619019,-0.24414062,-0.09472656,237.0,1
-0.93074036,-0.24414062,-0.09472656,153.0,1
-0.5703888,-0.24414062,-0.09472656,233.0,1
-0.31550598,-0.24414062,-0.09472656,360.0,1
-0.14753723,-0.24414062,-0.09472656,340.0,1
-0.04988098,-0.24414062,-0.09472656,530.0,1
-2.2897491,-0.1171875,-0.13964844,-120.0,1
